,軸,単語,登場数,登場率%/16730,レビューあたり/77,他のレビューでの登場率%,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,シャリ,硬さ,1,0.0,0.01,2.0969745899104067e-05,シャリ　1,酢　1,加減　1,大きい　1,さ　1,全て　1,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*
1,シャリ,米,20,0.11,0.25,0.00024115207783969678,酢　10,塩　6,する　5,効く　3,シャリ　3,2種類　3,化　3,一　3,粒　3,特徴　2,の　2,いる　2,硬め　2,ある　2,マイルド　2,これ　2,ブレンド　2,せる　2,旨味　2,甘み　2
2,ネタ,生臭い,2,0.01,0.02,4.1939491798208134e-05,れる　1,管理　1,問題　1,中トロ　1,さ　1,感じる　1,の　1,残念　1,ネタ　1,味わう　1,前　1,辛い　1,魚　1,もの　1,ある　1,感動　1,ない　1,*　*,*　*,*　*
3,素材単体,ヒラメ,9,0.05,0.11,0.00017300040366760857,産　4,ハタ　2,青森　2,ん　2,マグロ　2,中落ち　2,赤身　2,中トロ　2,ボケ　2,マカジキ　1,銚子　1,ここ　1,感動　1,ない　1,クエ　1,お造り　1,ひらめ　1,旨い　1,魚市場　1,冬場　1
4,素材単体,キス,8,0.04,0.1,8.387898359641627e-05,昆布　6,赤身　3,昆布締め　3,握り　3,コハダ　2,アワビ　2,中トロ　2,かす　2,鰻　2,強める　2,枝豆　1,マコガレイ　1,アオリイカ　1,シマアジ　1,美味しい　1,驚き　1,感じる　1,素材　1,鯵　1,車海老　1
5,素材単体,穴子,86,0.51,1.11,0.0012110028256732599,雲丹　14,玉子　13,する　12,握り　11,美味しい　11,玉　11,車海老　10,鯖　7,軍艦　7,煮る　7,蛤　7,赤貝　7,塩　5,小柱　5,柔らかい　5,追加　5,対馬　5,春子　4,ツメ　4,さ　4
6,素材その他,だし,2,0.01,0.02,1.5727309424328052e-05,ツマミ　1,ハマグリ　1,蛸　1,佐島　1,味付け　1,最小限　1,程良い　1,食事　1,おつまみ　1,きく　1,する　1,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*
7,仕事,修行,16,0.09,0.2,5.7666801222536187e-05,する　11,すきやばし次郎　9,さん　6,れる　5,いる　3,先　3,大将　3,すきやばし　2,積む　2,高橋　2,青空　2,店　2,13年　2,言う　2,長い　2,効率　2,方　2,次　1,12年間　1,せる　1
8,酒,生ビール,6,0.03,0.07,0.00012581847539462442,穴子　3,飲み物　2,料理　1,とりあえず　1,アサヒ　1,エビス　1,2種類　1,おく　1,ある　1,友達　1,雲丹　1,2　1,日本酒　1,4　1,合　1,金額　1,魚　1,煩い　1,乾杯　1,薄い　1
9,つまみ,酒肴,11,0.06,0.14,0.0001572730942432805,巻く　2,コース　2,握り　2,頂く　2,とろたく　1,○　1,玉　1,ナガスクジラ　1,尾　1,鰹　1,枝豆　1,変わる　1,6　1,日　1,青空　1,さん　1,蛸　1,燻す　1,鰆　1,叩く　1
10,提供方法,好み,31,0.18,0.4,0.0007339411064686424,方　6,の　6,握り　6,酢　6,シャリ　6,私　6,これ　4,ある　4,穴子　4,いる　4,点　3,さん　3,美味しい　2,ん　2,煮る　2,コース　2,れる　2,効く　2,感じる　2,硬め　2
11,人,長男,1,0.0,0.01,0.0,氏　2,小野二郎　1,二　1,番手　1,小野禎一　1,昨今　1,赤　1,酢　1,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*
12,人,弟子,13,0.07,0.16,0.00011533360244507237,さん　15,する　4,達　2,タイミング　2,2　2,いる　2,なる　2,の　2,ホール　1,方　1,スタッフ　1,絶妙　1,内　1,-3　1,人　1,サポート　1,次　1,お酒　1,辛口　1,すっきり　1
13,店,店舗,4,0.02,0.05,5.242436474776017e-05,する　4,れる　3,みたい　3,新しい　2,移動　2,場所　1,移転　1,前　1,予約　1,困難　1,中　1,お座敷　1,最近　1,以前　1,席数　1,増える　1,青空　1,10年目　1,*　*,*　*
14,店,個室,15,0.08,0.19,0.00019921258604148866,カウンター　7,席　6,ある　5,字　3,店内　2,部屋　2,なる　2,12　2,入れる　2,入る　2,よう　2,l　2,4　2,できる　2,１　1,一　1,ござる　1,店　1,5　1,キャパ　1
15,店,内装,6,0.03,0.07,0.00013630334834417645,カウンター　2,ゴージャス　2,玄関　1,ドア　1,開ける　1,石畳　1,径　1,l　1,字　1,型　1,長い　1,寿司屋　1,思える　1,埋まる　1,いる　1,これら　1,要素　1,店　1,感じ　1,料理人　1
16,店,席数,2,0.01,0.02,2.0969745899104067e-05,みたい　2,多め　1,店　1,空く　1,てる　1,以前　1,店舗　1,増える　1,コリドー　1,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*
17,価格,予算,3,0.01,0.03,5.242436474776017e-05,なる　2,られる　1,の　1,予約　1,取る　1,にくい　1,的　1,上　1,まとめ　1,エリア　1,銀座　1,新橋　1,35　1,000　1,円　1,夜　1,スタイル　1,*　*,*　*,*　*
18,土地,銀座,80,0.47,1.03,0.0009908204937326673,青空　16,さん　15,する　12,店　10,ある　9,鮨　8,丁目　7,コリドー　7,名店　7,ビル　6,鮨屋　6,はるた　5,8　5,街　5,の　5,新橋　5,場所　4,なる　4,寿司　4,すきやばし次郎　4
19,土地,金沢,2,0.01,0.02,1.5727309424328052e-05,私　1,食べる　1,行く　1,ちゃう　1,米酢　1,ミツカン　1,白銀　1,塩　1,能登　1,産　1,使う　1,おる　1,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*
20,季節,通年,1,0.0,0.01,1.0484872949552034e-05,天草　2,小肌　1,バラツキ　1,ない　1,こと　1,蛤　1,鯖　1,小柱　1,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*
