,軸,単語,登場数,登場率%/24976,レビューあたり/100,他のレビューでの登場率%,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,ネタ,パサパサ,1,0.0,0.01,5.242436474776017e-06,穴子　1,焼く　1,過ぎる　1,だいなし　1,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*
1,ネタ,魚介,3,0.01,0.03,4.718192827298415e-05,黒豚　1,染まる　1,身体　1,リフレッシュ　1,イクラ　1,擦る　1,潰す　1,三　1,アルコール　1,マリアージュ　1,追求　1,する　1,ほたて　1,分厚い　1,すぎる　1,ただ　1,ワサビ　1,味　1,ブヨブヨ　1,*　*
2,素材単体,イワシ,13,0.05,0.13,3.669705532343212e-05,食べる　4,育つ　4,マグロ　3,本鮪　2,頂く　2,脂　2,産　2,られる　2,美味しい　2,後　1,最初　1,料理　1,岸和田　1,大間　1,産本　1,分かる　1,その後　1,トロット　1,ロ　1,お造り　1
3,素材単体,ウニ,41,0.16,0.41,0.0006553045593470021,ご飯　8,する　5,握り　5,もの　4,スープ　4,カワハギ　4,マコガレイ　4,トロ　3,天然　3,ハマグリ　3,おつまみ　3,カラスミ　3,締め　3,巻物　3,マグロ　3,シマアジ　3,鰹　2,ボタンエビ　2,ない　2,産　2
4,素材単体,キンキ,8,0.03,0.08,2.0969745899104067e-05,ご飯　2,肝　2,する　2,最高　2,鮪　2,松葉蟹　1,鯛　1,スープ　1,干瓢　1,飯　1,栄　1,光冨士　1,雄　1,初体験　1,カラスミ　1,合わせる　1,の　1,こちら　1,触れる　1,本日　1
5,素材単体,白魚,11,0.04,0.11,0.00017300040366760857,宍道湖　5,つまむ　3,十四代　2,立派　2,皇室献上　2,品　2,もの　2,焼く　1,車海老　1,コハダ　1,昆布締め　1,あんかけ　1,あん　1,日本酒　1,十　1,四　1,後　1,出る　1,くる　1,残像　1
6,素材単体,カラスミ,25,0.1,0.25,0.00035648568028476914,キャビア　5,マグロ　4,する　3,鮪　3,の　3,ウニ　3,ご飯　3,ステーキ　3,顎　3,肉　3,ソース　3,年　2,穴子　2,挟む　2,炙る　2,カザフスタン産　2,ベルーガ　2,カナッペ　2,乗せる　2,クリュ　2
7,素材その他,鰹節,4,0.01,0.04,1.0484872949552034e-05,塩釜　1,トロ　1,ウニ　1,煎餅　1,鰹　1,天然　1,縞　1,鯵　1,筋子　1,鹿児島　1,産　1,カツオ　1,揚げる　1,チップ　1,のせる　1,物　1,メルロー　1,嬉　1,宍道湖　1,白魚　1
8,仕事,力,5,0.02,0.05,4.718192827298415e-05,いる　3,なる　2,難しい　2,ある　2,の　2,40代後半　1,父　1,喜び　1,手術　1,無事　1,成功　1,逆　1,これら　1,食材　1,説得　1,形　1,使いこなす　1,創作　1,びっくり　1,連発　1
9,仕事,料理,111,0.44,1.11,0.0010117902396317713,する　28,お酒　22,三谷　20,さん　18,の　12,マリアージュ　10,素晴らしい　9,ある　8,よう　7,れる　6,出る　6,いる　6,美味しい　6,今回　6,くる　6,多い　6,ワイン　5,一品　5,頂く　5,良い　5
10,酒,ワイン,73,0.29,0.73,0.00029357644258745695,日本酒　20,合わせる　15,する　12,の　11,シャンパン　10,飲む　9,マリアージュ　7,寿司　7,いる　7,さん　5,雲丹　5,こと　5,料理　5,なる　4,せる　4,合う　4,ない　4,三谷　3,素材　3,種　3
11,人,弟子,10,0.04,0.1,0.00011533360244507237,さん　5,三谷　4,する　4,紀尾井町　3,れる　2,達　2,育成　2,ため　2,彼　1,厳しい　1,育てる　1,たち　1,魂　1,存分　1,受け継ぐ　1,違う　1,縁　1,再訪　1,いる　1,今　1
12,店,店舗,8,0.03,0.08,5.242436474776017e-05,紀尾井町　2,する　2,れる　2,ある　2,幕　2,大手　1,寿司屋　1,始まる　1,百貨店　1,職人　1,働く　1,16年　1,2　1,目　1,出店　1,決まる　1,順風満帆　1,オープン　1,当初　1,今　1
13,店,席数,6,0.02,0.06,2.0969745899104067e-05,席　3,6　2,なる　2,少ない　2,方法　1,お客様　1,喜ぶ　1,頂く　1,今　1,限界　1,そう　1,久しぶり　1,三谷　1,四ツ谷　1,本店　1,７　1,減る　1,うまい　1,寿司屋　1,無い　1
14,業態,予約,164,0.65,1.64,0.002490157325518608,する　47,取れる　26,の　23,店　23,いる　17,取る　17,１　17,三谷　15,前　14,さん　14,なる　14,年　14,次回　13,後　12,困難　12,先　12,こと　12,電話　9,待ち　9,日　8
15,雰囲気,間合い,1,0.0,0.01,5.242436474776017e-06,酒　1,ワイン　1,含める　1,絶妙　1,提供　1,する　1,くれる　1,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*
16,土地,四谷,32,0.12,0.32,5.242436474776017e-06,三谷　15,店　9,ある　7,予約　5,魂　3,こと　3,紀尾井町　3,寿司店　3,する　3,さん　3,駅　3,30回　2,マリアージュ　2,閉める　2,いる　2,時　2,一谷　2,二谷　2,楽しみ　2,れる　2
17,土地,金沢,1,0.0,0.01,1.5727309424328052e-05,あと　1,以来　1,鯖　1,棒　1,鮨　1,印象的　1,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*
18,土地,産地,7,0.02,0.07,0.00011009116597029636,もの　3,バフンウニ　2,ある　2,食べる　1,比べ　1,異なる　1,風味　1,違い　1,楽しむ　1,分ける　1,必要　1,それぞれ　1,似合う　1,使う　1,繊細　1,気配り　1,素材　1,仕込み　1,ワンショット　1,づつのお　1
19,分野,和食,6,0.02,0.06,6.815167417208822e-05,する　2,寿司　2,ワイン　2,そうだ　2,鮨　2,三　2,谷　2,さん　1,いう　1,でる　1,くる　1,感じ　1,シャンパン　1,マリアージュ　1,せる　1,出汁　1,引く　1,方　1,日本料理　1,技法　1
20,分野,料理,111,0.44,1.11,0.0010117902396317713,する　28,お酒　22,三谷　20,さん　18,の　12,マリアージュ　10,素晴らしい　9,ある　8,よう　7,れる　6,出る　6,いる　6,美味しい　6,今回　6,くる　6,多い　6,ワイン　5,一品　5,頂く　5,良い　5
