,マグロ,赤身,旨味,巻き,まぐろ,酸味,コハダ,白洲,木村,鉄火,親方,高級,こはだ,伝説,上品,あわび,連続,紹介,独特,風味,吉沢,有名,ひらめ,さば,かっぱ,ヒラメ,一見,極上,爽やか,時代,新津,小柱,霜降り,シンプル,とも,日本一,名店,主役,カレイ,清らか,！⚫,お断り,近海,instagram,pateknautilus,殆ど,れい,三厩,ヒモ,しんい,淡路,*´,｀),良質,適度,格別,余市,柔らか
0,まずい,くろ,深く,小さい,くろ,小さい,凄まじい,わかく,,ほし,,優しく,柔らかく,多い,小さく,わかく,柔らかく,少なから,高い,薄く,,優しく,くろ,柔らかく,小さい,強く,少なから,深い,深い,,,ほし,柔らかく,,まずい,恥ずかし,,,恥ずかし,やすく,小さい,少なから,やすい,,,,ほし,ほし,ほし,ほし,ほし,優しく,優しく,優しく,優しく,優しく,優しく,やすく
1,欲しい,珍しい,やすく,優しく,珍しい,甘い,嬉しい,良かっ,,あかう,,美し,優しく,欲しい,凄かっ,良かっ,,,,凄かっ,,美し,珍しい,,,,高い,甘い,甘い,,,あかう,,,甘い,高い,,,高い,深い,,高い,,,,,あかう,あかう,あかう,あかう,あかう,美し,美し,美し,美し,美し,美し,優しく
2,たまらなく,とろ,薄く,美し,とろ,磯臭,ほし,少なから,,小さい,,カッコイイ,美し,たまらなく,甘い,くろ,,,,小さい,,カッコイイ,とろ,,,,,磯臭,磯臭,,,とろ,,,磯臭,,,,,強い,,,,,,,とろ,とろ,とろ,とろ,とろ,カッコイイ,カッコイイ,カッコイイ,カッコイイ,カッコイイ,カッコイイ,美し
3,やすい,ほし,深い,カッコイイ,優しく,分厚く,あかう,,,とろ,,っぽい,カッコイイ,優しく,磯臭,珍しい,,,,,,っぽい,,,,,,分厚く,分厚く,,,優しく,,,分厚く,,,,,,,,,,,,,,,,柔らかく,っぽい,っぽい,っぽい,っぽい,っぽい,っぽい,カッコイイ
4,小さい,あかう,恥ずかし,っぽい,美し,高い,甘い,,,優しく,,強く,っぽい,美し,分厚く,とろ,,,,,,強く,,,,,,強い,強い,,,美し,,,,,,,,,,,,,,,,,,,,強く,強く,強く,強く,強く,強く,っぽい
5,恥ずかし,小さい,強い,強く,カッコイイ,,磯臭,,,美し,,柔らかく,強く,カッコイイ,,,,,,,,柔らかく,,,,,,,,,,カッコイイ,,,,,,,,,,,,,,,,,,,,柔らかく,柔らかく,柔らかく,柔らかく,柔らかく,柔らかく,強く
6,高い,優しく,高い,柔らかく,っぽい,,分厚く,,,カッコイイ,,強い,強い,っぽい,,,,,,,,強い,,,,,,,,,,っぽい,,,,,,,,,,,,,,,,,,,,強い,強い,強い,強い,強い,強い,柔らかく
7,,美し,柔らかく,強い,強く,,とろ,,,っぽい,,,,強く,,,,,,,,,,,,,,,,,,強く,,,,,,,,,,,,,,,,,,,,,,,,,,強い
8,,カッコイイ,優しく,,柔らかく,,,,,強く,,,,柔らかく,,,,,,,,,,,,,,,,,,柔らかく,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,っぽい,美し,,強い,,,,,柔らかく,,,,強い,,,,,,,,,,,,,,,,,,強い,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,強く,カッコイイ,,,,,,,強い,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,柔らかく,っぽい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,強い,強く,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
