頻出単語,登場回数,登場回数/全単語数(26898)%,登場レビュー率 /(100本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
この,113,0.42,0.5,1.13,2.26
その,74,0.27,0.39,0.74,1.89
そんな,19,0.07,0.13,0.19,1.46
同じ,18,0.06,0.13,0.18,1.38
こんな,13,0.04,0.07,0.13,1.85
あの,10,0.03,0.09,0.1,1.11
大きな,6,0.02,0.04,0.06,1.5
こういう,6,0.02,0.05,0.06,1.2
小さな,5,0.01,0.05,0.05,1.0
どんな,4,0.01,0.04,0.04,1.0
どの,3,0.01,0.02,0.03,1.5
いわゆる,3,0.01,0.03,0.03,1.0
いろんな,3,0.01,0.03,0.03,1.0
そういう,3,0.01,0.03,0.03,1.0
ある,3,0.01,0.03,0.03,1.0
何たる,1,0.0,0.01,0.01,1.0
大した,1,0.0,0.01,0.01,1.0
名だたる,1,0.0,0.01,0.01,1.0
さる,1,0.0,0.01,0.01,1.0
